id,INDICIO,TIPO DE INDICIO,COLOR,MARCA,TALLA,OBSERVACIONES,LINK FOTO
001,1A,PANTALON,NEGRO,PAPER MINT,32,DE MEZCLILLA,https://drive.google.com/file/d/1ExkEl_p76oCYqU-BYhgW6ux6aRgzGg1s/view?usp=drive_link
002,2A,PANTALON,NEGRO,CITY COLOR,34,"DE MEZCLILLA, TIPO GABARDINA",https://drive.google.com/file/d/1NHDBmcNpwTu5MqqAc2Q_VLUh4Ckrlvnm/view?usp=sharing
003,3A,PANTALON,AZUL,CUIDADO CON EL PERRO,32,"DE MEZCLILLA, DESGARRADO",https://drive.google.com/file/d/1m34m2lVU_xAfaTVvhltL8ILSLJPHMvut/view?usp=sharing
004,4A,PANTALON,AZUL,FERCHOS,30,"DE MEZCLILLA, DESGARRADO",https://drive.google.com/file/d/1e9fpwldDjpyR8jmhgfzFI_CpBwW_DQDg/view?usp=sharing
005,5A,PANTALON,NEGRO,LEVIS,32,DE MEZCLILLA,https://drive.google.com/file/d/1jCRHeF2_Z4zf2Kf8bMPHcutilFWzMEsy/view?usp=sharing
006,6A,PANTALON,AZUL,S/D,28,DE MEZCLILLA,https://drive.google.com/file/d/1IZsnre8t4k3dTeKkLmPLG_VxitDhy7jG/view?usp=sharing
007,7A,PANTALON,NEGRO,S/D,28,DE MEZCLILLA,https://drive.google.com/file/d/1K3gMt4W6LCLViObNIsSBNpKz-ty0xEOO/view?usp=sharing
008,8A,PANTALON,AZUL,S/D,34,DE MEZCLILLA,https://drive.google.com/file/d/1_yts70mVWNjE0gIStj_8vOOU394i6NBb/view?usp=sharing
009,9A,PANTALON,AZUL,OGG,30,DE MEZCLILLA,https://drive.google.com/file/d/1jK7_kdbmGjP_1tHPL4sCUdsH6sT3Koly/view?usp=sharing
010,10A,PANTALON,AZUL,GUARRI,32,DE MEZCLILLA,https://drive.google.com/file/d/1VYDrrqcerBNwZSGWbH-Y3NqX4r7KGSzl/view?usp=sharing
011,11A,PANTALON,AZUL,S/D,32,"DE MEZCLILLA, DESGARRADO",https://drive.google.com/file/d/1szjleFLZUrpBEsbXGmaW-KhfY8JAoUpT/view?usp=sharing
012,12A,PANTALON,AZUL,BARBAS,34,DE MEZCLILLA,https://drive.google.com/file/d/1EOpzQBeycz9cXUK_grGUnahOdoPnwE20/view?usp=sharing
013,13A,PANTALON,CAFE,S/D,S/D,TIPO GABARDINA,https://drive.google.com/file/d/1eas6rfHeRn7bxaUMLXYjqvIVJpmgAd4V/view?usp=sharing
014,14A,PANTALON,NEGRO,AS,32,DE MEZCLILLA,https://drive.google.com/file/d/1bMZeiRmde2FLMYAS12MuohOVBZgJlRhg/view?usp=sharing
015,15A,PANTALON,NEGRO,RIZO BLACK,32,DE MEZCLILLA,https://drive.google.com/file/d/174Y1QfHbKtCL6FpF1sWFbYJCTHB6sP_g/view?usp=sharing
016,16A,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1WjShTi0PXCe2MWB0alHkoUGeaGcVknTp/view?usp=sharing
017,17A,PANTALON,CAFE,S/D,32,TIPO GABARDINA,https://drive.google.com/file/d/1ww9iP5webUa0un4VE5Rce427wuLSjrIe/view?usp=sharing
018,18A,PANTALON,AZUL,S/D,32,DE MEZCLILLA,https://drive.google.com/file/d/1LSxZROtppzuYuUW0c2KpDCLCWqr_zGBy/view?usp=sharing
019,19A,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1ItXmWvvyweF3aEBvEjGmbm0A5dbDU0d9/view?usp=sharing
020,20A,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1I0TDMg4_Uogi_-ivLHs1y3Ip5pa8qh5M/view?usp=sharing
021,21A,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1AxgEE75gvpLQfpoo0wRhgIalMUssCNJ3/view?usp=sharing
